header_path,line,kind,name,context
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,2,define,MEX_H_1P,#define MEX_H_1P
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,4,include,structs.h,"#include ""structs.h"""
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,5,include,datatypes.h,"#include ""datatypes.h"""
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,7,struct,ClassicLineupDesc,struct ClassicLineupDesc
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,13,struct,ClassicLineup,struct ClassicLineup // array of these @
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/1p.h,17,enum,check,"u8 x2;                         // 0x2, enum check for flag 0x80, 1 will use lineupdesc @ 804d4318, 2 will use lineupdesc @ 804d4320, 3 will use 804d4328"
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,2,define,MEX_H_AUDIO,#define MEX_H_AUDIO
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,4,include,structs.h,"#include ""structs.h"""
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,5,include,datatypes.h,"#include ""datatypes.h"""
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,7,enum,BGMKind,typedef enum BGMKind
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,17,enum,FGMGroup,typedef enum FGMGroup
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,26,enum,FGM_Main,typedef enum FGM_Main
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,41,enum,FGM_Narrator_Select,typedef enum FGM_Narrator_Select
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,48,enum,FGMID,enum FGMID
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,120,enum,_AXVCBState,typedef enum _AXVCBState
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,127,enum,_AXVPBType,typedef enum _AXVPBType
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,134,enum,_AXVCBRate,typedef enum _AXVCBRate
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,141,enum,_AXVPBSrcType,typedef enum _AXVPBSrcType
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,149,enum,AXPBUpdateFlag,typedef enum AXPBUpdateFlag {
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,160,struct,ARQRequest,typedef struct ARQRequest
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,165,struct,_AXPBADDR,typedef struct _AXPBADDR
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/m_ex/include/audio.h,177,struct,_AXPBMIX,typedef struct _AXPBMIX
