path,extension,size_bytes,line_count,sha256
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/.github/workflows/python-app.yml,.yml,545,28,8eb62aede5069d428c006ac625263c2036259fa4fc04c54c78bbbda031ea4ef0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/.gitignore,,976,89,9ee2142f72dd7b345d887f715b17cc8d4d52c1934e16a0a8929f9d4fad98e926
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/.pre-commit-config.yaml,.yaml,90,6,663aab3a77896c038dd89dbb12e8af02e94f6b4338797fa446c2ecf210d1a652
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/LICENSE,,35147,674,8ceb4b9ee5adedde47b31e975c1d90c73ad27b6b165a1dcd80c7c545eb65b903
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/README.md,.md,15829,354,bf6054796d0fcaa9fffd7ac53849cb016d246a4616c79a4216e8280f4a3ed631
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/mips2c_macros.h,.h,1015,36,8ac228b2093b407e4e0908c164ede16d42145a2024a4294a109e7a97ab05481a
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/mips_to_c.py,.py,57,4,eeb62ab08388d0ff0ac3385f7efc6c931744cfbaf4d1b6b61d8f4682b0d9071b
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/mypy.ini,.ini,513,20,cacb24678624d406a7ddd29b8df808409c72b1fdfaa93f4841c0c537a071f0fd
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/run_tests.py,.py,14985,485,798aaf5eb4c855d8ab2ed2d31d8dbe1ae87f6c2dd98cee7945dacc937839cb6b
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/__init__.py,.py,0,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/arch_mips.py,.py,41178,1174,6ab877478c2b7e92814b062a88383470a8b9924252d3bc1bd0dde28383d9bf50
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/arch_ppc.py,.py,29484,850,6bcf5288887082b3954e9708429acba60a198e139cd4d3002e29e794fa1ce883
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/asm_pattern.py,.py,6799,211,680d116a445baed8966fa2fb1ecd3ed90d9465c162079498fb4a643b786aa635
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/c_types.py,.py,27359,786,02f0a7fb5f634a6669daedfdaaa6243176f67b095cdeb7400483bd740666c9a0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/demangle_codewarrior.py,.py,14266,460,9d0e4ba33b8cd2c8b6ce528cb6b8aaf64c918cf6390bd4e5264cf4094d0d15cd
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/error.py,.py,288,14,b429add8a6a433ea1de69a2c663928b1379da220d0658a0a691ee76a7128fd82
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/src/flow_graph.py,.py,43445,1162,0506d7d0cb39431400aac79351b2c8d1bae1a51e20c8b8b226715788c6b41286
