source_file,line,section,address,size,virtual_address,flags,name,is_placeholder
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,2,.text,0x800018a8,0x00000004,0x800018a8,0,zz_00018a8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,3,.text,0x80001d50,0x00000004,0x80001d50,0,zz_0001d50_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,4,.text,0x80001d6c,0x00000004,0x80001d6c,0,zz_0001d6c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,5,.text,0x80001d90,0x00000004,0x80001d90,0,zz_0001d90_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,6,.text,0x80001dc0,0x00000004,0x80001dc0,0,zz_0001dc0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,7,.text,0x80001de8,0x00000004,0x80001de8,0,zz_0001de8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,8,.text,0x80001dec,0x00000004,0x80001dec,0,zz_0001dec_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,9,.text,0x80001e14,0x00000004,0x80001e14,0,zz_0001e14_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,10,.text,0x80001e30,0x00000004,0x80001e30,0,zz_0001e30_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,11,.text,0x80001f1c,0x00000004,0x80001f1c,0,zz_0001f1c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,12,.text,0x80001f40,0x00000004,0x80001f40,0,zz_0001f40_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,13,.text,0x80001f54,0x00000004,0x80001f54,0,zz_0001f54_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,14,.text,0x80001fa0,0x00000004,0x80001fa0,0,zz_0001fa0_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,15,.text,0x800022e8,0x00000004,0x800022e8,0,zz_00022e8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,16,.text,0x80002440,0x00000004,0x80002440,0,zz_0002440_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,17,.text,0x8000245c,0x00000004,0x8000245c,0,zz_000245c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,18,.text,0x8000249c,0x00000004,0x8000249c,0,zz_000249c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,19,.text,0x800024dc,0x00000004,0x800024dc,0,zz_00024dc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,20,.text,0x80002e98,0x00000004,0x80002e98,0,zz_0002e98_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,21,.text,0x80002f60,0x00000004,0x80002f60,0,zz_0002f60_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,22,.text,0x80003100,0x00000030,0x80003100,0,memset,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,23,.text,0x80003130,0x000000c4,0x80003130,0,__fill_mem,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,24,.text,0x800031f4,0x00000050,0x800031f4,0,memcpy,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,25,.text,0x80003244,0x00000024,0x80003244,0,TRK_memcpy,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,26,.text,0x80003268,0x00000030,0x80003268,0,zz_0003268_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,27,.text,0x800051cc,0x00000020,0x800051cc,0,zz_00051cc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,28,.text,0x800051ec,0x00000040,0x800051ec,0,__check_pad3,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,29,.text,0x8000522c,0x00000114,0x8000522c,0,__start,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,30,.text,0x80005340,0x0000001c,0x80005340,0,__init_registers,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,31,.text,0x8000535c,0x000000c0,0x8000535c,0,__init_data,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,32,.text,0x8000541c,0x00000020,0x8000541c,0,__init_hardware,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,33,.text,0x8000543c,0x00000034,0x8000543c,0,__flush_cache,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,34,.text,0x80005470,0x0000000c,0x80005470,0,zz_0005470_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,35,.text,0x8000594c,0x00000048,0x8000594c,0,SubactionEvent_0x04,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,36,.text,0x80005994,0x00000048,0x80005994,0,SubactionEvent_0x08,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,37,.text,0x800059dc,0x00000054,0x800059dc,0,SubactionEvent_0x0C_SetLoop,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,38,.text,0x80005a30,0x00000058,0x80005a30,0,SubactionEvent_0x10_ExecuteLoop,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,39,.text,0x80005a88,0x0000003c,0x80005a88,0,SubactionEvent_0x10_GoTo,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,40,.text,0x80005ac4,0x00000020,0x80005ac4,0,zz_0005ac4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,41,.text,0x80005ae4,0x0000001c,0x80005ae4,0,zz_0005ae4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,42,.text,0x80005b00,0x00000018,0x80005b00,0,zz_0005b00_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,43,.text,0x80005b18,0x0000004c,0x80005b18,0,zz_0005b18_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,44,.text,0x80005b64,0x0000004c,0x80005b64,0,Subaction_CheckForTimer,false
