source_row,row_text,A,B,C,D
1,Offset | Effect | Comments | Functional Explanations / Notes,Offset,Effect,Comments,Functional Explanations / Notes
3,"Static Player Block | Length 0xE90 | Static block starting at 0x80453080 for P1, 80453F10 for P2, 80454dA0 for P3, 80455C30 for P4",Static Player Block,Length 0xE90,"Static block starting at 0x80453080 for P1, 80453F10 for P2, 80454dA0 for P3, 80455C30 for P4",
4,0x00 | Player State | Int. 0x02 In-Game (includes dead). 0x00 Otherwise.,0x00,Player State,Int. 0x02 In-Game (includes dead). 0x00 Otherwise.,
5,0x04 | Player Character (External ID) | Int.,0x04,Player Character (External ID),Int.,
6,"0x08 | Slot Type (Human, CPU, Demo, None) | Int. (0x0000000 is HMN, 0x00000001 is CPU, 0x00000002 is Demo, 0x00000003 n/a)",0x08,"Slot Type (Human, CPU, Demo, None)","Int. (0x0000000 is HMN, 0x00000001 is CPU, 0x00000002 is Demo, 0x00000003 n/a)",
7,"0x0C | Transformed | Short. 0x0001 for normal, 0x0100 for transformed (Probably Zelda/Sheik only) | 800326CC multiplies 1 * 0x0C if a character is transformed. So the formula for position = 0x10 + (0x0C * isTransformed), resulting in positions offsets 0x1C through 0x24 instead of 0x10 through 0x18",0x0C,Transformed,"Short. 0x0001 for normal, 0x0100 for transformed (Probably Zelda/Sheik only)","800326CC multiplies 1 * 0x0C if a character is transformed. So the formula for position = 0x10 + (0x0C * isTransformed), resulting in positions offsets 0x1C through 0x24 instead of 0x10 through 0x18"
8,0x0E | 0000? | Short.,0x0E,0000?,Short.,
9,0x10 | Nametag X (Horizontal) Position | Float,0x10,Nametag X (Horizontal) Position,Float,
10,0x14 | Nametag Y (Vertical) Position | Float,0x14,Nametag Y (Vertical) Position,Float,
11,0x18 | Nametag Z (Depth) Position | Float,0x18,Nametag Z (Depth) Position,Float,
12,"0x1C | Transformed Player X Position | Float. Set by initial spawn & respawns. If you're transformed, this acts as the player nametag position.",0x1C,Transformed Player X Position,"Float. Set by initial spawn & respawns. If you're transformed, this acts as the player nametag position.",
13,0x20 | Transformed Player Y Position,0x20,Transformed Player Y Position,,
14,0x24 | Transformed Player Z Position | Float.,0x24,Transformed Player Z Position,Float.,
15,"0x28 | Spawn Platform Final Position X | Float. These are set the first time you respawn, unless a stage changes your spawn position",0x28,Spawn Platform Final Position X,"Float. These are set the first time you respawn, unless a stage changes your spawn position",
16,0x2C | Spawn Platform Final Position Y | Float.,0x2C,Spawn Platform Final Position Y,Float.,
17,0x30 | Spawn Platform Final Position Z | Float. Same as Spawn Position Z.,0x30,Spawn Platform Final Position Z,Float. Same as Spawn Position Z.,
18,0x34 | ?,0x34,?,,
19,0x38 | ?,0x38,?,,
20,0x3C | ? | Int,0x3C,?,Int,
21,0x40 | Facing Direction | Float.,0x40,Facing Direction,Float.,
22,"0x44 | Costume ID | Byte. 00 = normal, 01 = red, 02 = blue, 03 = green (reflected in icon immediately)",0x44,Costume ID,"Byte. 00 = normal, 01 = red, 02 = blue, 03 = green (reflected in icon immediately)",
23,0x45 | ? | Byte.,0x45,?,Byte.,
24,0x46 | Controller Index | Byte.,0x46,Controller Index,Byte.,
25,"0x47 | Byte. 00 = red, 01 = blue, 02 = green",0x47,,"Byte. 00 = red, 01 = blue, 02 = green",
26,0x48 | Player ID | Byte.,0x48,Player ID,Byte.,
27,0x49 | CPU Level | Byte.,0x49,CPU Level,Byte.,
28,0x4A | CPU Type | Byte.,0x4A,CPU Type,Byte.,
29,0x4B | Handicap Value | Byte.,0x4B,Handicap Value,Byte.,
30,0x4C | ?,0x4C,?,,
31,0x50 | ? | Float,0x50,?,Float,
32,0x54 | Attack Ratio | Float,0x54,Attack Ratio,Float,
33,0x58 | Damage Defense Ratio | Float,0x58,Damage Defense Ratio,Float,
34,0x5C | Model Scale | Float. Scale that match was started with. Modifying does nothing.,0x5C,Model Scale,Float. Scale that match was started with. Modifying does nothing.,
35,0x60 | Stamina HP Lost / Percentage - Currently Displayed | Short,0x60,Stamina HP Lost / Percentage - Currently Displayed,Short,
36,0x62 | Starting Percentage / Nana's % | Short. Used in modes like Sudden Death to set your starting Percentage. Otherwise Nana's or Sheik's %,0x62,Starting Percentage / Nana's %,Short. Used in modes like Sudden Death to set your starting Percentage. Otherwise Nana's or Sheik's %,
37,0x64 | Stamina HP | Short,0x64,Stamina HP,Short,
38,0x66 | ? | Short,0x66,?,Short,
39,0x68 | Falls | Int,0x68,Falls,Int,
40,0x6C | Nana's Death Count | Int,0x6C,Nana's Death Count,Int,
41,0x70 | P1 KOs | Int,0x70,P1 KOs,Int,
42,0x74 | P2 KOs | Int,0x74,P2 KOs,Int,
43,0x78 | P3 KOs | Int,0x78,P3 KOs,Int,
44,0x7C | P4 KOs | Int,0x7C,P4 KOs,Int,
