source_row,row_text,A,B,C,D
1,Region Start | Region End | Amount | Description,Region Start,Region End,Amount,Description
2,"0x80001800 | 0x80002FFF | 17FF | Free memory in all GCN/Wii games (NOTE: Gecko codehandler gets injected at 0x80001800, approx. 0xba8 in size)",0x80001800,0x80002FFF,17FF,"Free memory in all GCN/Wii games (NOTE: Gecko codehandler gets injected at 0x80001800, approx. 0xba8 in size)"
4,0x8022887c | 0x8022892c | B0 | Unused code function (nop 801a4f84 and 801a5070),0x8022887c,0x8022892c,B0,Unused code function (nop 801a4f84 and 801a5070)
5,0x8032c848 | 0x8032c880 | 38 | Unused code function (nop 801a4f84 and 801a5070),0x8032c848,0x8032c880,38,Unused code function (nop 801a4f84 and 801a5070)
6,0x8032dcb0 | 0x8032ddbc | 10C | Unused code function (nop 801a4f84 and 801a5070),0x8032dcb0,0x8032ddbc,10C,Unused code function (nop 801a4f84 and 801a5070)
7,0x8032ed8c | 0x8032ee90 | 104 | Unused code function (nop 801a4f84 and 801a5070),0x8032ed8c,0x8032ee90,104,Unused code function (nop 801a4f84 and 801a5070)
8,0x80393a5c | 0x80393c10 | 1B4 | Unused code function (nop 801a4f84 and 801a5070),0x80393a5c,0x80393c10,1B4,Unused code function (nop 801a4f84 and 801a5070)
10,0x803fa3e8 | 0x803fc2ec | 1F04 | Debug menu tables/strings (only use this if you don't mind overwriting the debug menu!),0x803fa3e8,0x803fc2ec,1F04,Debug menu tables/strings (only use this if you don't mind overwriting the debug menu!)
11,0x803fc420 | 0x803fdc1c | 17FC | Debug menu tables/strings (only use this if you don't mind overwriting the debug menu!),0x803fc420,0x803fdc1c,17FC,Debug menu tables/strings (only use this if you don't mind overwriting the debug menu!)
13,\n | \n,\n,\n,,
14,0x803001DC | 0x80301E44 | 1C68 | Probably Debug Menu functions (More debug mode code is in places higher than this),0x803001DC,0x80301E44,1C68,Probably Debug Menu functions (More debug mode code is in places higher than this)
16,"0x804d36a0 | 0x804d3700 | 60 | Color table for develop mode graphics, only use if it's ok to break this",0x804d36a0,0x804d3700,60,"Color table for develop mode graphics, only use if it's ok to break this"
