source_row,row_text,A,B,C
1,"Information courtesy of Tatata0 on the Melee Light Discord. Achilles: [...] Hurtboxes start at 0x11AC, spaced 0x4C apart. Hitbox0 starts 0x914 of char data offset, spaced 0x138 apart.","Information courtesy of Tatata0 on the Melee Light Discord. Achilles: [...] Hurtboxes start at 0x11AC, spaced 0x4C apart. Hitbox0 starts 0x914 of char data offset, spaced 0x138 apart.",,
3,*Hurtbox Data Offsets Start*,*Hurtbox Data Offsets Start*,,
5,0x0,0x0,,
6,0x4,0x4,,
7,0x8,0x8,,
8,0xC,0xC,,
9,"0x10 | Scale | Hurtbox scale, uniform value that scales the entire capsule.",0x10,Scale,"Hurtbox scale, uniform value that scales the entire capsule."
10,0x14,0x14,,
11,0x18,0x18,,
12,"0x1C | End 1 - X Position | Global cooridnates for each end point, updated every frame.",0x1C,End 1 - X Position,"Global cooridnates for each end point, updated every frame."
13,0x20 | End 1 - Y Position | Changes only affect the hurtbox at the exact time they're updated in game time. Can be studied in develop mode pause menu.,0x20,End 1 - Y Position,Changes only affect the hurtbox at the exact time they're updated in game time. Can be studied in develop mode pause menu.
14,0x24 | End 1 - Z Position,0x24,End 1 - Z Position,
15,0x28 | End 2 - X Position,0x28,End 2 - X Position,
16,0x2C | End 2 - Y Position,0x2C,End 2 - Y Position,
17,0x30 | End 2 - Z Position,0x30,End 2 - Z Position,
18,0x34,0x34,,
19,0x38,0x38,,
20,0x3C,0x3C,,
21,0x40,0x40,,
22,0x41,0x41,,
23,0x42,0x42,,
24,0x43,0x43,,
25,0x44,0x44,,
26,0x45,0x45,,
27,0x46,0x46,,
28,0x47,0x47,,
29,0x48,0x48,,
30,0x4C,0x4C,,
