source_row,row_text,A,B,C,D,E
2,Move Table Struct,,Move Table Struct,,,
3,0x00 | Animation State | Loaded into 0x14 of the player data during Action State Change,0x00,Animation State,Loaded into 0x14 of the player data during Action State Change,,
4,0x04,0x04,,,,
5,0x07 | Move Type Used | ie. tracked as a 'jump' for scoring purposes,0x07,Move Type Used,ie. tracked as a 'jump' for scoring purposes,,
6,0x08 | Flags 1 | Bit 0x01 = gets counted in the total Action States used\nBit 0x40 = move counts as a self-destruct for 1 second,0x08,Flags 1,Bit 0x01 = gets counted in the total Action States used\nBit 0x40 = move counts as a self-destruct for 1 second,,
7,0x0C | Function pointer - animation interrupt | Points to a function that defines what state is entered at the end of this one.,0x0C,Function pointer - animation interrupt,Points to a function that defines what state is entered at the end of this one.,,
8,0x10 | Function pointer - input interrupt | Points to the state's IASA function.,0x10,Function pointer - input interrupt,Points to the state's IASA function.,,
9,0x14 | Function pointer - action physics | Points to the state's physics behavior per frame.,0x14,Function pointer - action physics,Points to the state's physics behavior per frame.,,
10,0x18 | Function pointer - collision interrupt | Points to the state's function that defines what state to enter when platform collision changes.,0x18,Function pointer - collision interrupt,Points to the state's function that defines what state to enter when platform collision changes.,,
11,0x1C | Function pointer - camera behavior | Points to a function related to camera behavior for the given state.,0x1C,Function pointer - camera behavior,Points to a function related to camera behavior for the given state.,,
12,0x20 | Start of next move,0x20,Start of next move,,,
15,ID (Dec) | ID (Hex) | Action State | Function Address,ID (Dec),ID (Hex),Action State,,Function Address
16,0 | 0000 | DeadDown | Standard downward death,0,0000,DeadDown,Standard downward death,
17,1 | 0001 | DeadLeft | Standard leftward death,1,0001,DeadLeft,Standard leftward death,
18,2 | 0002 | DeadRight | Standard rightward death,2,0002,DeadRight,Standard rightward death,
19,"3 | 0003 | DeadUp | Upward death used in 1P ""Team Kirby"", etc.",3,0003,DeadUp,"Upward death used in 1P ""Team Kirby"", etc.",
20,4 | 0004 | DeadUpStar | Standard Star KO,4,0004,DeadUpStar,Standard Star KO,
21,5 | 0005 | DeadUpStarIce | Star KO while encased in ice (Freezie),5,0005,DeadUpStarIce,Star KO while encased in ice (Freezie),
22,"6 | 0006 | 64-esque front fall, unused, I believe",6,0006,,"64-esque front fall, unused, I believe",
23,7 | 0007,7,0007,,,
24,8 | 0008 | DeadUpFallHitCamera,8,0008,DeadUpFallHitCamera,,
25,9 | 0009 | DeadUpFallIce,9,0009,DeadUpFallIce,,
26,10 | 000A | DeadUpFallHitCameraIce,10,000A,DeadUpFallHitCameraIce,,
27,"11 | 000B | Rebirth | ""Nothing"" state, probably - it is the state Shiek/Zelda is in when their counterpart is the one currently playing. Also state of Nana when Sopo is alive",11,000B,Rebirth,"""Nothing"" state, probably - it is the state Shiek/Zelda is in when their counterpart is the one currently playing. Also state of Nana when Sopo is alive",
28,12 | 000C | Entering on halo | 0x800bfd9c,12,000C,,Entering on halo,0x800bfd9c
29,13 | 000D | RebirthWait | Waiting on halo,13,000D,RebirthWait,Waiting on halo,
30,14 | 000E | Wait | Standing state,14,000E,Wait,Standing state,
31,15 | 000F | WalkSlow,15,000F,WalkSlow,,
32,16 | 0010 | WalkMiddle,16,0010,WalkMiddle,,
33,17 | 0011 | WalkFast,17,0011,WalkFast,,
34,18 | 0012 | Turn,18,0012,Turn,,
35,19 | 0013 | TurnRun,19,0013,TurnRun,,
36,20 | 0014 | Dash,20,0014,Dash,,
37,21 | 0015 | Run,21,0015,Run,,
38,22 | 0016 | RunDirect,22,0016,RunDirect,,
39,23 | 0017 | RunBrake,23,0017,RunBrake,,
40,24 | 0018 | KneeBend | Pre-jump animation,24,0018,KneeBend,Pre-jump animation,
41,25 | 0019 | JumpF | First jump forward,25,0019,JumpF,First jump forward,
42,26 | 001A | JumpB | First jump backward,26,001A,JumpB,First jump backward,
43,27 | 001B | JumpAerialF | Aerial jump forward,27,001B,JumpAerialF,Aerial jump forward,
44,28 | 001C | JumpAerialB | Aerial jump backward,28,001C,JumpAerialB,Aerial jump backward,
45,29 | 001D | Fall | Falling straight down,29,001D,Fall,Falling straight down,
46,30 | 001E | FallF | Falling with forward DI,30,001E,FallF,Falling with forward DI,
47,31 | 001F | FallB | Falling with backward DI,31,001F,FallB,Falling with backward DI,
48,32 | 0020 | FallAerial | Falling after the second jump,32,0020,FallAerial,Falling after the second jump,
49,33 | 0021 | FallAerialF | Falling after the second jump with forward DI,33,0021,FallAerialF,Falling after the second jump with forward DI,
50,34 | 0022 | FallAerialB | Falling after the second jump with backward DI,34,0022,FallAerialB,Falling after the second jump with backward DI,
51,35 | 0023 | FallSpecial | Special fall after UpB or airdodge,35,0023,FallSpecial,Special fall after UpB or airdodge,
52,36 | 0024 | FallSpecialF | Special fall with forward DI,36,0024,FallSpecialF,Special fall with forward DI,
53,37 | 0025 | FallSpecialB | Special fall with backward DI,37,0025,FallSpecialB,Special fall with backward DI,
54,38 | 0026 | DamageFall | Tumbling,38,0026,DamageFall,Tumbling,
55,39 | 0027 | Squat | Going from stand to crouch,39,0027,Squat,Going from stand to crouch,
56,40 | 0028 | SquatWait | Crouching,40,0028,SquatWait,Crouching,
57,41 | 0029 | SquatRv | Going from crouch to stand,41,0029,SquatRv,Going from crouch to stand,
58,42 | 002A | Landing,42,002A,Landing,,
59,43 | 002B | LandingFallSpecial | Landing from special fall,43,002B,LandingFallSpecial,Landing from special fall,
60,44 | 002C | Attack11 | Jab 1,44,002C,Attack11,Jab 1,
61,45 | 002D | Attack12 | Jab 2,45,002D,Attack12,Jab 2,
62,46 | 002E | Attack13 | Jab 3,46,002E,Attack13,Jab 3,
63,47 | 002F | Attack100Start | Start of a rapid jab,47,002F,Attack100Start,Start of a rapid jab,
64,48 | 0030 | Attack100Loop | Middle of a rapid jab,48,0030,Attack100Loop,Middle of a rapid jab,
65,49 | 0031 | Attack100End | End of a rapid jab,49,0031,Attack100End,End of a rapid jab,
66,50 | 0032 | AttackDash | Dash attack,50,0032,AttackDash,Dash attack,
67,51 | 0033 | AttackS3Hi | High Ftilt,51,0033,AttackS3Hi,High Ftilt,
68,52 | 0034 | AttackS3HiS | High-mid Ftilt,52,0034,AttackS3HiS,High-mid Ftilt,
69,53 | 0035 | AttackS3S | Mid Ftilt,53,0035,AttackS3S,Mid Ftilt,
70,54 | 0036 | AttackS3LwS | Low-mid Ftilt,54,0036,AttackS3LwS,Low-mid Ftilt,
71,55 | 0037 | AttackS3Lw | Low Ftilt,55,0037,AttackS3Lw,Low Ftilt,
72,56 | 0038 | AttackHi3 | Uptilt,56,0038,AttackHi3,Uptilt,
73,57 | 0039 | AttackLw3 | Downtilt,57,0039,AttackLw3,Downtilt,
74,58 | 003A | AttackS4Hi | High Fsmash,58,003A,AttackS4Hi,High Fsmash,
75,59 | 003B | AttackS4HiS | High-mid Fsmash,59,003B,AttackS4HiS,High-mid Fsmash,
76,60 | 003C | AttackS4S | Mid Fsmash,60,003C,AttackS4S,Mid Fsmash,
77,61 | 003D | AttackS4LwS | Low-mid Fsmash,61,003D,AttackS4LwS,Low-mid Fsmash,
78,62 | 003E | AttackS4Lw | Low Fsmash,62,003E,AttackS4Lw,Low Fsmash,
79,63 | 003F | AttackHi4 | Upsmash,63,003F,AttackHi4,Upsmash,
80,64 | 0040 | AttackLw4 | Downsmash,64,0040,AttackLw4,Downsmash,
81,65 | 0041 | AttackAirN | Nair,65,0041,AttackAirN,Nair,
82,66 | 0042 | AttackAirF | Fair,66,0042,AttackAirF,Fair,
83,67 | 0043 | AttackAirB | Bair,67,0043,AttackAirB,Bair,
84,68 | 0044 | AttackAirHi | Uair,68,0044,AttackAirHi,Uair,
85,69 | 0045 | AttackAirLw | Dair,69,0045,AttackAirLw,Dair,
86,70 | 0046 | LandingAirN | Landing during Nair,70,0046,LandingAirN,Landing during Nair,
87,71 | 0047 | LandingAirF | Landing during Fair,71,0047,LandingAirF,Landing during Fair,
88,72 | 0048 | LandingAirB | Landing during Bair,72,0048,LandingAirB,Landing during Bair,
89,73 | 0049 | LandingAirHi | Landing during Uair,73,0049,LandingAirHi,Landing during Uair,
