source_row,row_text,A,B,C
1,Offset | Variable | Comments,Offset,Variable,Comments
3,"GObj | Length 0x38 | This is the same entity structure used by players, objects, and items",GObj,Length 0x38,"This is the same entity structure used by players, objects, and items"
4,0x00 | Entity Class | Short.,0x00,Entity Class,Short.
5,0x02 | p_link | Byte.,0x02,p_link,Byte.
6,0x03 | gx_link | Byte.,0x03,gx_link,Byte.
7,0x04 | p_priority | Byte.,0x04,p_priority,Byte.
8,0x05 | gx_priority | Byte.,0x05,gx_priority,Byte.
9,0x06 | obj_kind | Byte. Set to 0xFF for NO REF.,0x06,obj_kind,Byte. Set to 0xFF for NO REF.
10,0x07 | data_kind | Byte. Set to 0xFF for NO REF.,0x07,data_kind,Byte. Set to 0xFF for NO REF.
11,0x08 | Next GObj data pointer | Pointer.,0x08,Next GObj data pointer,Pointer.
12,0x0C | Previous GObj data pointer | Pointer.,0x0C,Previous GObj data pointer,Pointer.
13,0x10 | Next GObj data pointer - GX Ordered | Pointer.,0x10,Next GObj data pointer - GX Ordered,Pointer.
14,0x14 | Previous GObj data pointer - GX Ordered | Pointer.,0x14,Previous GObj data pointer - GX Ordered,Pointer.
15,0x18 | Pointer to GObjProc,0x18,Pointer to GObjProc,
16,"0x1C | GXCallback Render Function | Always seems to be 0x80080E18(entity_t*, int code) for players and 0x8026EECC for items, called each frame",0x1C,GXCallback Render Function,"Always seems to be 0x80080E18(entity_t*, int code) for players and 0x8026EECC for items, called each frame"
17,0x20 | Render Priorities | 64-bit bitmask. Only valid for a CObj referencing GObj. Each bit determines which priority level is rendered by that camera.,0x20,Render Priorities,64-bit bitmask. Only valid for a CObj referencing GObj. Each bit determines which priority level is rendered by that camera.
18,"0x28 | Pointer to HSD Object | Typically CObj, JObj, LObj, or Fog",0x28,Pointer to HSD Object,"Typically CObj, JObj, LObj, or Fog"
19,0x2C | Pointer to Entity Data,0x2C,Pointer to Entity Data,
20,"0x30 | Pointer to Destructor Function | Always 0x8006DABC for players. 0x8026AE10 for Blaster, possibly same for other items.",0x30,Pointer to Destructor Function,"Always 0x8006DABC for players. 0x8026AE10 for Blaster, possibly same for other items."
21,0x34 | Unk Linked List,0x34,Unk Linked List,
23,GObjProc,GObjProc,,
24,0x00 | Parent | Pointer,0x00,Parent,Pointer
25,0x04 | Next | Pointer,0x04,Next,Pointer
26,0x08 | Prev | Pointer,0x08,Prev,Pointer
27,0x0C | s_link | Byte,0x0C,s_link,Byte
28,0x0D | Flags | Byte,0x0D,Flags,Byte
29,0x10 | Parent GObj,0x10,Parent GObj,
30,0x14 | Proc Function,0x14,Proc Function,
