source_row,row_text,A,B,C,D,E,F
1,T | Title | Single line or function? | Description | Registers,T,Title,Single line or function?,Description,Registers,
2,SFX & Audio,SFX & Audio,,,,,
3,"8038cff4 | Play sound effect | Function | r3 = sfx ID; r4 = volume (00 - FF); r5 = ?? (usually 0x80); r6 = ?? (00-FF); r7 = echo parameter? (00-0F, usually 7 in-game)",8038cff4,Play sound effect,Function,,"r3 = sfx ID; r4 = volume (00 - FF); r5 = ?? (usually 0x80); r6 = ?? (00-FF); r7 = echo parameter? (00-0F, usually 7 in-game)",
4,"80024030 | Play menu sound effect | Function | Play a menu sound. Leads to the above function but takes more neatly-assorted menu sound IDs, and all the menus use this. | r3 = sfx ID",80024030,Play menu sound effect,Function,"Play a menu sound. Leads to the above function but takes more neatly-assorted menu sound IDs, and all the menus use this.",r3 = sfx ID,
5,"8017435c | Play menu sound: ""Back"" | Function | Plays the menu sound made when pressing B. No parameters/registers are required.",8017435c,"Play menu sound: ""Back""",Function,Plays the menu sound made when pressing B. No parameters/registers are required.,,
6,"80174338 | Play menu sound: ""Forward"" | Function | Plays the menu sound made when pressing A. No parameters/registers are required.",80174338,"Play menu sound: ""Forward""",Function,Plays the menu sound made when pressing A. No parameters/registers are required.,,
7,"80174380 | Play menu sound: ""Select"" | Function | Plays the menu sound made when pressing up/down. No parameters/registers are required.",80174380,"Play menu sound: ""Select""",Function,Plays the menu sound made when pressing up/down. No parameters/registers are required.,,
8,80023f28 | Play music | Function | r3 = HPS ID #,80023f28,Play music,Function,,r3 = HPS ID #,
9,800236dc | Stop music | Function,800236dc,Stop music,Function,,,
10,8038bd6c | Stop all sound effects | Function,8038bd6c,Stop all sound effects,Function,,,
11,In-Game Mechanics,In-Game Mechanics,,,,,
12,80034110 | Get character data pointer | Function | Returns a pointer for the character data based on the given player number. | r3 = player number,80034110,Get character data pointer,Function,Returns a pointer for the character data based on the given player number.,r3 = player number,
13,8006ad10 | Main character loop | Function | Top-level character update; runs once per character per frame in game loop,8006ad10,Main character loop,Function,Top-level character update; runs once per character per frame in game loop,,
14,80033c60 | Set initial stock count | Function | Stores stock amount to a player at the beginning of the match. Runs once per player. | r5 = stock count; r3 = player number,80033c60,Set initial stock count,Function,Stores stock amount to a player at the beginning of the match. Runs once per player.,r5 = stock count; r3 = player number,
15,"80033ce0 | Lose a stock | Function | Loads the player's stock count, subtracts 1, then stores it unless if the player number zero-indexed is greater than 5 which freezes the game. | r3 = player number",80033ce0,Lose a stock,Function,"Loads the player's stock count, subtracts 1, then stores it unless if the player number zero-indexed is greater than 5 which freezes the game.",r3 = player number,
16,"800693ac | Load action state | Function | Load new action state for a character. Every action state has an init function before branching to this. | f1 = starting frame, r3 = char data offset, r4 = action state ID,",800693ac,Load action state,Function,Load new action state for a character. Every action state has an init function before branching to this.,"f1 = starting frame, r3 = char data offset, r4 = action state ID,",
