source_row,row_text,A,B,C,D,E
1,Offset | Hex | Value | Effect | Comments,Offset,Hex,Value,Effect,Comments
2,0x50E4 | 3F11EB85 | 0.57 | CSS Puck Lighting Effect 1,0x50E4,3F11EB85,0.57,CSS Puck Lighting Effect 1,
3,0x50E8 | 3F11EB85 | 0.57 | CSS Puck Lighting Effect 2,0x50E8,3F11EB85,0.57,CSS Puck Lighting Effect 2,
4,0x50EC | 3F11EB85 | 0.57 | CSS Puck Lighting Effect 3,0x50EC,3F11EB85,0.57,CSS Puck Lighting Effect 3,
5,0x5170 | 00000001 | 1 | CSS Screen layer focus? | (More knowledge about the organization of the CSS Screen and layers is required),0x5170,00000001,1,CSS Screen layer focus?,(More knowledge about the organization of the CSS Screen and layers is required)
6,0x5174 | 00000280 | 640 | CSS layer Horizontal Stretch,0x5174,00000280,640,CSS layer Horizontal Stretch,
7,0x5178 | 000001E0 | 480 | CSS layer Vertical Stretch,0x5178,000001E0,480,CSS layer Vertical Stretch,
8,"0x5180 | 00000280 | 640 | CSS Layer height? | (if lowered, part of or all of screen is black)",0x5180,00000280,640,CSS Layer height?,"(if lowered, part of or all of screen is black)"
9,0x519C | 41C7FFFF | 24.999998 | CSS Screen Field of view,0x519C,41C7FFFF,24.999998,CSS Screen Field of view,
10,0x51A0 | 3F9BBBBF | 1.216667 | CSS Screen Aspect ratio / Horizontal compression,0x51A0,3F9BBBBF,1.216667,CSS Screen Aspect ratio / Horizontal compression,
