source_row,row_text,A,B,C,D,E
1,Hex | Default value | Effect | Comments,,Hex,Default value,Effect,Comments
2,0x9FE0 | 3E8F5C29 | 0.28 | joystick & c-stick x-axis dead zone,0x9FE0,3E8F5C29,0.28,joystick & c-stick x-axis dead zone,
3,0x9FE4 | 3E8F5C29 | 0.28 | joystick & c-stick y-axis dead zone,0x9FE4,3E8F5C29,0.28,joystick & c-stick y-axis dead zone,
4,0x9FE8 | 3E800000 | 0.25 | joystick X needed for cardinal direction change button timer data\n,0x9FE8,3E800000,0.25,joystick X needed for cardinal direction change button timer data\n,
5,0x9FEC | 3E800000 | 0.25 | joystick Y needed for cardinal direction change button timer data,0x9FEC,3E800000,0.25,joystick Y needed for cardinal direction change button timer data,
6,0x9FF0 | 3E99999A | 0.30 | L/R Analog dead zone,0x9FF0,3E99999A,0.30,L/R Analog dead zone,
7,0x9FF4 | 3EB33333 | 0.35 | L/R Analog stored when pressing Z,0x9FF4,3EB33333,0.35,L/R Analog stored when pressing Z,
8,0x9FF8 | 3E800000 | 0.25 | analog data needed for change button timer data (assumption),0x9FF8,3E800000,0.25,analog data needed for change button timer data (assumption),
9,0x9FFC | 00000028 | 40 | tech dead window (cannot tech for 40 frames after performing a tech),0x9FFC,00000028,40,tech dead window (cannot tech for 40 frames after performing a tech),
10,0xA024 | 40800000 | 4 | (dashing) frame at which fsmash interrupt window ends,0xA024,40800000,4,(dashing) frame at which fsmash interrupt window ends,
11,0xA02C | 41A00000 | 20 | (dashing) frame at which dash attack interrupt window ends,0xA02C,41A00000,20,(dashing) frame at which dash attack interrupt window ends,
12,0xA050 | 3F29999A | 0.6625,0xA050,3F29999A,0.6625,,
13,0xA054 | 00000004 | 4 | max frames since joystick cardinal direction change into Y-axis for tap jumping | y joystick window for up-b and down-b (negated),0xA054,00000004,4,max frames since joystick cardinal direction change into Y-axis for tap jumping,y joystick window for up-b and down-b (negated)
14,"0xA0C4 | 00000007 | 7 | l-cancel, frames before landing to hit L/R/Z",0xA0C4,00000007,7,"l-cancel, frames before landing to hit L/R/Z",
15,"0xA0C8 | 40000000 | 2 | l-cancel, animation speed division",0xA0C8,40000000,2,"l-cancel, animation speed division",
16,0xA0D4 | 3C23D70A | 0.01 | Weight based knockback reduction multiplier? | (Knockback related)(higher values = more reduction),0xA0D4,3C23D70A,0.01,Weight based knockback reduction multiplier?,(Knockback related)(higher values = more reduction)
17,"0xA0D8 | 40000000 | 2.0 | Knockback formula value 1(?) | (Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)",0xA0D8,40000000,2.0,Knockback formula value 1(?),"(Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)"
18,0xA0E0 | 3CF5C28F | 0.03 | Launch speed multiplier | Velocity applied when taking knockback is knockback*this,0xA0E0,3CF5C28F,0.03,Launch speed multiplier,Velocity applied when taking knockback is knockback*this
19,"0xA0E4 | 000000000 | 0.0 | Knockback formula value 3(?)(Minimum knockback?) | (Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)",0xA0E4,000000000,0.0,Knockback formula value 3(?)(Minimum knockback?),"(Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)"
20,0xA0E8 | 451C4000 | 2500.0 | Maximum Knockback,0xA0E8,451C4000,2500.0,Maximum Knockback,
21,0xA0EC | 42C80000 | 100.0 | Throw knockback multiplier(?) | Weight used in Throw Knockback calculation,0xA0EC,42C80000,100.0,Throw knockback multiplier(?),Weight used in Throw Knockback calculation
22,"0xA0F0 | 3DCCCCCD | 0.1 | Knockback formula value 4(?)(Minimum knockback?) | (Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)",0xA0F0,3DCCCCCD,0.1,Knockback formula value 4(?)(Minimum knockback?),"(Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)"
23,"0xA0F4 | 3D4CCCCD | 0.05 | Knockback formula value 5(?) | (Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)",0xA0F4,3D4CCCCD,0.05,Knockback formula value 5(?),"(Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)"
24,0xA0F8 | 41200000 | 10.0 | WDSK Knockback multiplier | (Higher = More knockback),0xA0F8,41200000,10.0,WDSK Knockback multiplier,(Higher = More knockback)
25,"0xA0FC | 3FB33333 | 1.4 | Knockback formula value 6(?) | (Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)(probably is more knockback values just ahead of this, but w/e, I spent about an hour mapping 10 knockback values)",0xA0FC,3FB33333,1.4,Knockback formula value 6(?),"(Higher = More knockback) (Affects at 0 percent, so not damage) (High values will insta-kill)(probably is more knockback values just ahead of this, but w/e, I spent about an hour mapping 10 knockback values)"
26,0xA100 | 41900000 | 18 | Knockback formula value 7 | (Higher values increase knockback),0xA100,41900000,18,Knockback formula value 7,(Higher values increase knockback)
27,0xA134 | 3ECCCCCD | 0.4 | Hitstun multiplier,0xA134,3ECCCCCD,0.4,Hitstun multiplier,
28,0xA138 | 41200000 | 10 | Something to do with tumbling? | (Hilarious),0xA138,41200000,10,Something to do with tumbling?,(Hilarious)
29,0xA170 | 3F733333 | 0.95 | V-cancelling knockback reduction,0xA170,3F733333,0.95,V-cancelling knockback reduction,
30,0xA174 | 41A00000 | 20 | Max number of frames of hitlag,0xA174,41A00000,20,Max number of frames of hitlag,
